name,county,sosid
1B,Appling,0011B
1C,Appling,0011C
2,Appling,0012
3A1,Appling,0013A1
3C,Appling,0013C
4B,Appling,0014B
4D,Appling,0014D
5A,Appling,0015A
5B,Appling,0015B
Pearson County,Atkinson,0030001
Axson,Atkinson,0030002
Willacoochee,Atkinson,0030003
Pearson City,Atkinson,0030004
Douglas,Bacon,005DOUGL
Anna,Baker,007A
Elmodel,Baker,007E
Hoggards Mill,Baker,007H
Milford,Baker,007M
Newton,Baker,007N
South Milledgeville,Baldwin,009CTY1
City Hall Annex,Baldwin,009CTY2
Boddie,Baldwin,009CTY3
Courthouse,Baldwin,009CTY4
Fire Dept,Baldwin,009CTY5
North Milledgeville,Baldwin,009CTY6
Meriweather,Baldwin,009MERI
East Baldwin,Baldwin,009MONT
Scottsboro,Baldwin,0091714
North Baldwin,Baldwin,009318
West Baldwin,Baldwin,009319
East Hardwick,Baldwin,009321E
West Hardwick,Baldwin,009321W
Coopers,Baldwin,009322
Anderson,Banks,0110001
Baldwin,Banks,0110002
Berlin,Banks,0110003
Bushville,Banks,0110004
Columbia,Banks,0110005
Davids,Banks,0110006
Golden Hill,Banks,0110007
Grove River,Banks,0110008
Hollingsworth,Banks,0110009
Homer,Banks,0110010
Poplar Springs,Banks,0110011
Washington,Banks,0110012
Wilmonts,Banks,0110013
01 Bethlehem Community Center,Barrow,01301
02 Bethlehem Church - 211,Barrow,01302
03 Hmong New Hope Alliance Church ,Barrow,01303
04 Covenant Life Sanctuary ,Barrow,01304
05 Fire Station 1 (Statham),Barrow,01305
08 First Baptist Church Winder,Barrow,01308
13 Winder Community Center,Barrow,01313
16 The Church at Winder,Barrow,01316
Adairsville,Bartow,01501
Allatoona,Bartow,01502
Cartersville East,Bartow,01503
Cartersville West,Bartow,01504
Cassville,Bartow,01505
Center,Bartow,01506
Emerson,Bartow,01507
Euharlee,Bartow,01508
Folsom,Bartow,01509
Hamilton Crossing,Bartow,01517
Kingston,Bartow,01510
Mission Road,Bartow,01511
Pine Log,Bartow,01512
Taylorsville,Bartow,01514
White,Bartow,01515
Zena Drive,Bartow,01516
Woodland,Bartow,01518
East,Ben Hill,0171
West,Ben Hill,0172
West Berrien,Berrien,01911062
Ray City,Berrien,0191144
Nashville,Berrien,0191157
Enigma,Berrien,0191642
Alapaha,Berrien,019518
East Macon 1,Bibb,021EM1
East Macon 2,Bibb,021EM2
East Macon 3,Bibb,021EM3
East Macon 4,Bibb,021EM4
East Macon 5,Bibb,021EM5
Godfrey 1,Bibb,021GF1
Godfrey 2,Bibb,021GF2
Godfrey 3,Bibb,021GF3
Godfrey 4,Bibb,021GF4
Godfrey 5,Bibb,021GF5
Hazzard 1,Bibb,021HA1
Hazzard 2,Bibb,021HA2
Hazzard 3,Bibb,021HA3
Hazzard 4,Bibb,021HA4
Howard 1,Bibb,021HO1
Howard 2,Bibb,021HO2
Howard 3,Bibb,021HO3
Howard 4,Bibb,021HO4
Howard 5,Bibb,021HO5
Howard 6,Bibb,021HO6
Howard 7,Bibb,021HO7
Rutland 1,Bibb,021RU1
Rutland 2,Bibb,021RU2
Vineville 1,Bibb,021VV1
Vineville 2,Bibb,021VV2
Vineville 3,Bibb,021VV3
Vineville 4,Bibb,021VV4
Vineville 5,Bibb,021VV5
Vineville 6,Bibb,021VV6
Warrior 1,Bibb,021WA1
Warrior 2,Bibb,021WA2
Fairground,Bleckley,0231
Hoboken,Brantley,0251
Nahunta,Brantley,0252
Waynesville,Brantley,0253
Quitman,Brooks,0271199
Barwick,Brooks,0271230
Dixie,Brooks,0271402
Briggs,Brooks,0271650
Nankin,Brooks,027659
Morven,Brooks,027660
Pavo,Brooks,0271712
Pembroke,Bryan,0291
Danielsiding,Bryan,02910
Ellabell,Bryan,0292
Black Creek,Bryan,0293
Ways Station,Bryan,0294
RH Rec Complex,Bryan,0295
JF Gregory Park,Bryan,0296
Keller,Bryan,0297
Hwy 144 East,Bryan,0298
Public Safety Complex,Bryan,0299
Lockhart,Bulloch,0311
Emit,Bulloch,03110
Statesboro,Bulloch,03111
