name,totalVoters,ballotsCast,voterTurnout,percentReporting,perdue,ossoff,loeffler,warnock,county,sosid
1B,1330,0,0.0,1,0,0,0,0,Appling,0011B
1C,868,0,0.0,1,0,0,0,0,Appling,0011C
2,2308,0,0.0,1,0,0,0,0,Appling,0012
3A1,815,0,0.0,1,0,0,0,0,Appling,0013A1
3C,1605,0,0.0,1,0,0,0,0,Appling,0013C
4B,883,0,0.0,1,0,0,0,0,Appling,0014B
4D,1529,0,0.0,1,0,0,0,0,Appling,0014D
5A,1164,0,0.0,1,0,0,0,0,Appling,0015A
5B,1162,0,0.0,1,0,0,0,0,Appling,0015B
Pearson County,1841,87,4.73,1,58,29,59,28,Atkinson,0030001
Axson,751,26,3.46,1,23,3,22,4,Atkinson,0030002
Willacoochee,1342,69,5.14,1,32,37,31,37,Atkinson,0030003
Pearson City,943,62,6.57,1,19,43,20,42,Atkinson,0030004
Douglas,6720,4137,61.56,4,3566,558,3569,558,Bacon,005DOUGL
Anna,168,117,69.64,4,88,29,88,29,Baker,007A
Elmodel,399,262,65.66,4,127,134,130,131,Baker,007E
Hoggards Mill,359,211,58.77,4,101,107,105,104,Baker,007H
Milford,274,193,70.44,4,129,64,128,64,Baker,007M
Newton,1075,658,61.21,4,365,290,365,291,Baker,007N
South Milledgeville,1266,673,53.16,4,129,536,128,541,Baldwin,009CTY1
City Hall Annex,969,306,31.58,2,71,229,71,233,Baldwin,009CTY2
Boddie,1406,406,28.88,2,65,340,64,342,Baldwin,009CTY3
Courthouse,511,178,34.83,2,62,116,59,119,Baldwin,009CTY4
Fire Dept,1508,838,55.57,4,162,674,162,674,Baldwin,009CTY5
North Milledgeville,2240,1517,67.72,4,719,798,719,796,Baldwin,009CTY6
Meriweather,2888,1564,54.16,2,907,653,902,661,Baldwin,009MERI
East Baldwin,3877,1889,48.72,2,1019,867,1013,872,Baldwin,009MONT
Scottsboro,1131,399,35.28,2,210,188,211,188,Baldwin,0091714
North Baldwin,3550,1925,54.23,2,1295,628,1294,630,Baldwin,009318
West Baldwin,1900,912,48.0,2,446,464,443,469,Baldwin,009319
East Hardwick,1322,327,24.74,2,62,262,63,263,Baldwin,009321E
West Hardwick,2933,1301,44.36,2,245,1051,241,1058,Baldwin,009321W
Coopers,1587,626,39.45,2,385,241,387,239,Baldwin,009322
Anderson,0,0,0.0,1,0,0,0,0,Banks,0110001
Baldwin,0,0,0.0,1,0,0,0,0,Banks,0110002
Berlin,0,0,0.0,1,0,0,0,0,Banks,0110003
Bushville,0,0,0.0,1,0,0,0,0,Banks,0110004
Columbia,0,0,0.0,1,0,0,0,0,Banks,0110005
Davids,0,0,0.0,1,0,0,0,0,Banks,0110006
Golden Hill,0,0,0.0,1,0,0,0,0,Banks,0110007
Grove River,0,0,0.0,1,0,0,0,0,Banks,0110008
Hollingsworth,0,0,0.0,1,0,0,0,0,Banks,0110009
Homer,0,0,0.0,1,0,0,0,0,Banks,0110010
Poplar Springs,0,0,0.0,1,0,0,0,0,Banks,0110011
Washington,0,0,0.0,1,0,0,0,0,Banks,0110012
Wilmonts,0,0,0.0,1,0,0,0,0,Banks,0110013
01 Bethlehem Community Center,3414,0,0.0,1,0,0,0,0,Barrow,01301
02 Bethlehem Church - 211,6911,0,0.0,1,0,0,0,0,Barrow,01302
03 Hmong New Hope Alliance Church ,6475,0,0.0,1,0,0,0,0,Barrow,01303
04 Covenant Life Sanctuary ,4089,0,0.0,1,0,0,0,0,Barrow,01304
05 Fire Station 1 (Statham),8554,0,0.0,1,0,0,0,0,Barrow,01305
08 First Baptist Church Winder,7152,0,0.0,1,0,0,0,0,Barrow,01308
13 Winder Community Center,9639,0,0.0,1,0,0,0,0,Barrow,01313
16 The Church at Winder,10585,0,0.0,1,0,0,0,0,Barrow,01316
Adairsville,7148,0,0.0,1,0,0,0,0,Bartow,01501
Allatoona,4834,0,0.0,1,0,0,0,0,Bartow,01502
Cartersville East,6974,0,0.0,1,0,0,0,0,Bartow,01503
Cartersville West,8229,0,0.0,1,0,0,0,0,Bartow,01504
Cassville,4661,0,0.0,1,0,0,0,0,Bartow,01505
Center,4055,0,0.0,1,0,0,0,0,Bartow,01506
Emerson,3160,0,0.0,1,0,0,0,0,Bartow,01507
Euharlee,5482,0,0.0,1,0,0,0,0,Bartow,01508
Folsom,1476,0,0.0,1,0,0,0,0,Bartow,01509
Hamilton Crossing,6735,0,0.0,1,0,0,0,0,Bartow,01517
Kingston,2747,0,0.0,1,0,0,0,0,Bartow,01510
Mission Road,4090,0,0.0,1,0,0,0,0,Bartow,01511
Pine Log,2159,0,0.0,1,0,0,0,0,Bartow,01512
Taylorsville,2888,0,0.0,1,0,0,0,0,Bartow,01514
White,2759,0,0.0,1,0,0,0,0,Bartow,01515
Zena Drive,6571,0,0.0,1,0,0,0,0,Bartow,01516
Woodland,1914,0,0.0,1,0,0,0,0,Bartow,01518
East,4040,2151,53.24,4,1027,1112,1028,1118,Ben Hill,0171
West,6047,3581,59.22,4,2500,1070,2501,1075,Ben Hill,0172
West Berrien,1023,287,28.05,2,241,43,244,43,Berrien,01911062
Ray City,2014,602,29.89,2,487,115,482,120,Berrien,0191144
Nashville,6237,3537,56.71,4,2934,598,2939,591,Berrien,0191157
Enigma,1141,221,19.37,2,188,33,187,33,Berrien,0191642
Alapaha,1159,327,28.21,2,223,104,222,105,Berrien,019518
East Macon 1,2145,567,26.43,2,9,554,8,557,Bibb,021EM1
East Macon 2,4001,1411,35.27,2,63,1343,60,1349,Bibb,021EM2
East Macon 3,3707,1322,35.66,2,273,1047,271,1051,Bibb,021EM3
East Macon 4,2324,842,36.23,2,25,810,27,814,Bibb,021EM4
East Macon 5,2594,1068,41.17,2,185,882,186,880,Bibb,021EM5
Godfrey 1,6424,2005,31.21,2,119,1873,107,1893,Bibb,021GF1
Godfrey 2,2229,517,23.19,2,29,481,30,487,Bibb,021GF2
Godfrey 3,3360,1069,31.82,2,80,984,79,990,Bibb,021GF3
Godfrey 4,1482,531,35.83,2,51,477,50,480,Bibb,021GF4
Godfrey 5,4875,1486,30.48,2,138,1342,133,1352,Bibb,021GF5
Hazzard 1,3430,1123,32.74,2,114,1007,112,1010,Bibb,021HA1
Hazzard 2,4248,1407,33.12,2,450,952,450,954,Bibb,021HA2
Hazzard 3,6216,2835,45.61,2,596,2232,594,2235,Bibb,021HA3
Hazzard 4,2287,2159,94.4,2,1059,1100,1056,1102,Bibb,021HA4
Howard 1,2640,1711,64.81,2,1053,658,1047,660,Bibb,021HO1
Howard 2,3455,1555,45.01,2,947,608,946,608,Bibb,021HO2
Howard 3,6463,2701,41.79,2,1263,1436,1253,1441,Bibb,021HO3
Howard 4,1757,754,42.91,2,351,403,344,410,Bibb,021HO4
Howard 5,2323,737,31.73,2,236,499,234,502,Bibb,021HO5
Howard 6,2224,948,42.63,2,479,467,472,474,Bibb,021HO6
Howard 7,2927,1302,44.48,2,736,564,729,571,Bibb,021HO7
Rutland 1,5931,2322,39.15,2,1056,1262,1050,1269,Bibb,021RU1
Rutland 2,3576,1111,31.07,2,540,570,540,570,Bibb,021RU2
Vineville 1,3678,1352,36.76,2,331,1017,326,1025,Bibb,021VV1
Vineville 2,2122,724,34.12,2,129,593,129,593,Bibb,021VV2
Vineville 3,3196,1150,35.98,2,81,1065,78,1070,Bibb,021VV3
Vineville 4,4260,1394,32.72,2,125,1266,121,1272,Bibb,021VV4
Vineville 5,2387,1046,43.82,2,490,556,486,559,Bibb,021VV5
Vineville 6,3072,1266,41.21,2,497,765,488,776,Bibb,021VV6
Warrior 1,2662,875,32.87,2,399,476,394,480,Bibb,021WA1
Warrior 2,8082,1292,15.99,2,592,697,590,700,Bibb,021WA2
Fairground,7743,5113,66.03,4,3918,1188,3896,1212,Bleckley,0231
Hoboken,3039,2040,67.13,4,1903,133,1908,130,Brantley,0251
Nahunta,4073,2431,59.69,4,2192,234,2189,233,Brantley,0252
Waynesville,4169,2158,51.76,4,1907,248,1901,250,Brantley,0253
Quitman,0,1457,0.0,4,687,767,690,765,Brooks,0271199
Barwick,0,59,0.0,2,36,23,36,23,Brooks,0271230
Dixie,0,274,0.0,2,137,134,141,132,Brooks,0271402
Briggs,0,539,0.0,2,435,103,434,103,Brooks,0271650
Nankin,0,391,0.0,4,349,41,348,43,Brooks,027659
Morven,0,469,0.0,2,360,109,358,109,Brooks,027660
Pavo,0,119,0.0,2,91,28,90,29,Brooks,0271712
Pembroke,2706,784,28.97,2,520,263,517,264,Bryan,0291
Danielsiding,2326,785,33.75,2,621,164,622,162,Bryan,02910
Ellabell,2390,679,28.41,2,564,114,562,116,Bryan,0292
Black Creek,3038,777,25.58,2,615,162,615,161,Bryan,0293
Ways Station,2011,548,27.25,2,331,216,334,214,Bryan,0294
RH Rec Complex,3336,942,28.24,2,529,413,529,413,Bryan,0295
JF Gregory Park,2941,1451,49.34,2,1157,294,1153,296,Bryan,0296
Keller,4371,1871,42.8,2,1361,510,1355,515,Bryan,0297
Hwy 144 East,5594,2203,39.38,2,1425,776,1429,772,Bryan,0298
Public Safety Complex,2631,699,26.57,2,405,294,407,291,Bryan,0299
Lockhart,738,0,0.0,1,0,0,0,0,Bulloch,0311
Emit,3435,0,0.0,1,0,0,0,0,Bulloch,03110
Statesboro,7165,0,0.0,1,0,0,0,0,Bulloch,03111
Portal,1775,0,0.0,1,0,0,0,0,Bulloch,03112
Fair,6438,0,0.0,1,0,0,0,0,Bulloch,03113
Church,5894,0,0.0,1,0,0,0,0,Bulloch,03114
Pittman Park,5389,0,0.0,1,0,0,0,0,Bulloch,03115
Leefield,1032,0,0.0,1,0,0,0,0,Bulloch,03116
Blitch,1903,0,0.0,1,0,0,0,0,Bulloch,0312
Hagin,2466,0,0.0,1,0,0,0,0,Bulloch,0313
